id,Question,Answer
1,What is under-fitting and overfitting in machine learning?,"Underfitting is when a model is too simple, and overfitting is when it's too complex, making it perform poorly on new data."
2,Can you explain what a false positive and a false negative are?,"A false positive incorrectly indicates a condition is present when it's not, while a false negative misses detecting a condition that is there."
3,Clarify the concept of Phase IV.,"Phase IV studies, also known as post-marketing surveillance, are conducted after a drug or medical product is made available to the general public. They aim to monitor the product's safety, efficacy, and long-term effects in a larger and more diverse population, providing valuable insights into real-world usage. Phase IV studies help regulators, healthcare providers, and patients make informed decisions about the product's continued use by assessing its risks and benefits over an extended period outside the controlled environment of clinical trials."
4,What is semi-supervised learning described in a short description?,"Semi-supervised learning integrates both labeled and unlabeled data during model training. By leveraging the abundance of unlabeled data alongside limited labeled data, it enhances model performance and generalization to new examples, offering scalability and efficiency in scenarios where acquiring labeled data is resource-intensive or impractical. This approach bridges the gap between supervised and unsupervised learning, unlocking the potential of vast unlabeled datasets for training robust machine learning models."
5,Discuss the parallelization of training in gradient boosting models.,"Parallelizing training of a gradient boosting model is indeed possible, leveraging the parallel processing capabilities of modern hardware, such as GPUs. Frameworks like XGBoost offer options like 'tree_method = 'gpu_hist'' to utilize GPUs for faster training. By distributing computation across multiple cores or devices simultaneously, parallelization accelerates the training process, significantly reducing training time and improving efficiency. This approach is particularly beneficial for large datasets and complex models, where traditional sequential training may be computationally intensive and time-consuming."
6,"What defines a Python module, and how does it differ from libraries?","A Python module is a single file that encapsulates specific functionalities, which can be reused in different programs. A library, on the other hand, is a collection of related modules that can offer a broader range of functionalities."
7,Describe power shortly.,"Power, in frequentist statistics, refers to the probability of correctly rejecting the null hypothesis when a true effect exists. It indicates the test's sensitivity to detect a real effect, depending on factors such as sample size, effect size, significance level, and variability. Higher power implies a greater likelihood of detecting an effect if present, while lower power increases the risk of a Type II error (false negative). Power analysis is crucial for designing experiments and ensuring study reliability by determining the sample size needed to achieve adequate power."
8,Is Python call by reference or call by value?,"In Python, function arguments are passed by assignment, which can appear as call by value for immutable data and call by reference for mutable data, depending on whether the objects involved are mutable or immutable."
9,Give a brief explanation of random error.,"Random error refers to fluctuations or discrepancies in measurements or observations that occur due to chance or variability in sampling. It arises from unpredictable factors such as measurement imprecision, instrument calibration errors, or natural variability in the data. Random errors are inherent in any measurement process and cannot be completely eliminated but can be minimized through proper experimental design, replication, and statistical analysis techniques to ensure accurate and reliable results."
10,What is a histogram?,"A histogram is a graphical representation depicting the distribution of numerical data through vertical bars, providing visual insights into data concentration and frequency within specified intervals or bins."
11,"What is the Naive Bayes algorithm, and how is it used in NLP?","Naive Bayes predicts text tags based on probabilities, often used in NLP for classification tasks."
12,How are weights initialized in a neural network?,"Neural network weights are initialized randomly to break symmetry and facilitate diverse feature representation. This randomness ensures each neuron receives unique signals, aiding effective learning and model convergence."
13,Discuss methods for statistically proving that males are taller on average than females using gender height data.,"To demonstrate that males are taller on average than females, hypothesis testing is employed. The null hypothesis states that the average height of males is equal to that of females, while the alternative hypothesis posits that the average height of males is greater than females. By collecting random samples of heights for both genders and conducting a t-test, the statistical difference between the average heights can be assessed. If the test yields a significant result, it provides evidence to support the alternative hypothesis, indicating that males are indeed taller on average than females."
14,Describe methods for handling outliers in a time series dataset.,"Outliers in time series data can be managed through various techniques. Smoothing methods like moving averages can help mitigate the impact of outliers by reducing noise in the data. Transformations such as log transformation can normalize the distribution, making it less susceptible to outliers. Anomaly detection methods like z-scores or modified z-scores can identify and handle outliers effectively. Alternatively, specialized models like robust regression or robust time series models can be utilized to provide robustness against outliers."
15,What is a scatter plot?,"Scatter plots visualize the relationship between two quantitative variables, allowing you to see patterns, trends, and potential correlations in the data."
16,Explain how to utilize the groupby function in data analysis.,"The groupby function in pandas allows grouping rows based on a specified column and applying aggregate functions to each group. For example, df.groupby('Company').mean() groups the data by the 'Company' column and calculates the mean value for each group. This facilitates summarizing data based on categories or groups, enabling insights into patterns and trends within the dataset. Groupby is a powerful tool for exploratory data analysis and generating summary statistics across different segments of the data."
17,What feature selection methods are used to select the right variables?,"Selecting the right variables involves filter methods that use statistical tests to identify relevant features, and wrapper methods that iteratively add or remove features based on model performance."
18,Can you give a brief explanation of embeddings?,"Embeddings are a representation technique in machine learning that maps high-dimensional categorical data into a lower-dimensional continuous space, facilitating models to process and learn from such data more effectively."
19,What is the difference between generative and discriminative models?,"Generative models learn joint probability distributions, enabling sample generation. Discriminative models learn conditional probabilities, mainly used for classification tasks. Generative models capture data generation processes, while discriminative models focus on decision boundaries between classes."
20,How does a basic neural network work?,"A basic neural network functions by taking inputs, processing them through interconnected layers of nodes (each representing a mathematical operation), and outputting a result based on the learned patterns in the data."
21,What is the purpose of the softmax function in a neural network?,Softmax transforms neural network outputs into probability distributions over classes.
22,Provide a brief explanation of inter-quartile range.,"The interquartile range (IQR) measures the spread or dispersion of data within the middle 50% of observations. It is calculated as the difference between the third quartile (Q3) and the first quartile (Q1) of a dataset. The IQR provides insights into the variability of values within a dataset, focusing on the central interval containing half of the sample. It is robust against outliers and extreme values, making it a useful measure of data spread in statistical analysis and inference."
23,Explain the concept of mean absolute error.,"Mean Absolute Error (MAE) quantifies the average discrepancy between predicted and observed values in a dataset. It computes the absolute differences between predicted and actual values and averages them across all data points. MAE provides a straightforward measure of prediction accuracy, representing the typical magnitude of errors in the model's predictions. It is commonly used in regression and forecasting tasks to evaluate model performance and assess the effectiveness of predictive algorithms. MAE's simplicity and interpretability make it a preferred metric for assessing prediction accuracy in various domains, providing valuable insights into the overall predictive performance of a model."
24,Can you explain neural networks?,Neural networks are a set of algorithms modeled loosely after the human brain that help computers recognize patterns and solve problems.
25,What is a batch?,"In machine learning, a batch refers to the set of data points used in one iteration of model training, and batch size specifies the number of these data points."
26,What is data or image augmentation and why is it used?,"Data or image augmentation artificially expands the size of a training dataset by creating modified versions of the data, which helps improve the robustness and generalization of machine learning models."
27,What is NLTK in NLP?,"NLTK, or Natural Language Toolkit, is a suite of libraries and programs for symbolic and statistical natural language processing for English written in Python. It's commonly used for prototyping and building research systems."
28,What is latent semantic indexing (LSI)?,"Latent Semantic Indexing reduces dimensions of text data to capture the underlying meaning, grouping synonyms and reducing noise. It's particularly helpful for improving search accuracy and understanding text semantics."
29,Explain natural language processing (NLP).,"Natural Language Processing (NLP) is a branch of AI focused on enabling computers to comprehend, interpret, and generate human language. It encompasses tasks like language translation, sentiment analysis, and chatbot interactions. By processing text and speech data, NLP systems extract meaning, recognize patterns, and facilitate communication between humans and machines. NLP plays a crucial role in various applications, from virtual assistants and customer service bots to text analytics and machine translation, enhancing user experiences and automating language-related tasks."
30,What exactly is a dataset?,"A dataset is a structured set of data, which could be in various formats like tables or databases, used as input for machine learning models or for analysis purposes."
31,What does unsupervised learning entail?,"Unsupervised learning involves training models to identify patterns or structures within data without explicit labels or target outputs. By exploring data's inherent structure, unsupervised learning algorithms reveal hidden insights and groupings, facilitating tasks like clustering, dimensionality reduction, and anomaly detection."
32,Describe requirement prioritization and list different techniques for it.,Requirement prioritization is the process in business and software development where stakeholders decide the order and importance of fulfilling requirements based on criteria such as impact and urgency.
33,Is it advisable to perform dimensionality reduction before fitting an SVM? Explain your reasoning.,"Dimensionality reduction before SVM can mitigate overfitting and improve computational efficiency, especially when dealing with high-dimensional datasets."
34,What is Apache Spark and how does it differ from MapReduce?,"Apache Spark is distinguished from MapReduce by its ability to process data in-memory, leading to faster execution of iterative algorithms commonly used in machine learning and data processing."
35,Summarize the key idea of rate briefly.,"Rates represent the change or occurrence of events relative to a specific unit of time, space, or other measurable quantity. They are commonly used in various fields to quantify phenomena such as speed, growth, incidence, or occurrence over time. Rates provide valuable insights into the frequency or intensity of events, enabling comparisons across different contexts or populations. Unlike probabilities, which are bounded between 0 and 1, rates can assume any non-negative value and are not restricted by probabilistic constraints."
36,Define model capacity.,Model capacity refers to a model's ability to learn complex patterns and structures from data. Higher capacity models can learn more complex relationships but are also more prone to overfitting if not properly regularized.
37,How would you briefly summarize the key idea of a transformer model?,"Transformer models, exemplified by BERT and GPT, revolutionized NLP by capturing long-range dependencies more effectively. Through attention mechanisms, they allocate importance to input elements dynamically, enhancing the model's understanding of context and semantic relationships, leading to state-of-the-art performance in tasks like language translation, sentiment analysis, and text generation."
38,How are collaborative filtering and content-based filtering similar or different?,"Collaborative filtering and content-based filtering personalize recommendations but diverge in approach: the former analyzes user behavior similarity, while the latter evaluates item properties to make suggestions."
39,Can you explain the difference between bagging and boosting algorithms?,"Bagging and boosting are both ensemble strategies, but they differ in their approach. Bagging reduces variance by averaging predictions from various models trained on different subsets of data. Boosting sequentially trains models with a focus on examples the previous models got wrong, thereby reducing bias."
40,Can you explain anything about FSCK?,FSCK (File System Consistency Check) is a system utility that checks the integrity of a filesystem and repairs issues if granted permission.
41,"Explain the relationship between OLS and linear regression, and maximum likelihood and logistic regression.","OLS and maximum likelihood are techniques used in linear and logistic regression, respectively, to approximate parameter values. OLS minimizes the distance between actual and predicted values, while maximum likelihood selects parameters maximizing the likelihood of producing observed data. Understanding these methods aids in model fitting and parameter estimation, ensuring accurate regression analysis and reliable predictions in statistical modeling and data analysis tasks."
42,What do you know about star schema and snowflake schema?,"The star schema centralizes data with a single fact table linked to dimension tables, often leading to redundancy but faster query speeds. The snowflake schema is a more complex, normalized version of the star schema, reducing redundancy but potentially slower due to complexity."
43,What is a parametric model?,"A parametric model is a mathematical model that makes specific assumptions about the form of the underlying data distribution and has a fixed number of parameters. These parameters characterize the relationship between input and output variables, and their values are estimated from the training data. Parametric models typically assume a specific functional form for the data distribution, such as linear regression or logistic regression, simplifying the modeling process but imposing assumptions on the data structure. Despite these assumptions, parametric models are widely used in statistics and machine learning due to their simplicity and interpretability."
44,Is game theory related to AI?,"Game theory is essential in AI for developing strategies for autonomous agents and multi-agent systems. It analyzes the decision-making processes when multiple decision-makers interact, influencing AI applications like negotiation algorithms and multi-robot coordination."
45,Explain the concept of an agent in the context of Artificial Intelligence (AI).,"In AI, agents are autonomous entities that perceive their surroundings through sensors and act towards achieving predefined goals, using reinforcement learning to improve their actions based on feedback."
46,"Explain hypothesis testing, its necessity, and list some statistical tests.","Hypothesis testing evaluates whether there's sufficient evidence in a sample of data to infer that a certain condition holds for the entire population. Statistical tests like the T-test, Chi-Square, and ANOVA assess the validity of assumptions related to means, variances, and distributions."
47,Discuss various approaches for treating missing values in a dataset.,"Handling missing values involves strategies such as imputation, assignment of default values, or exclusion. For numerical data, missing values can be replaced with the mean or median, ensuring minimal disruption to the data distribution. Categorical variables may be assigned a default value or treated separately. In cases of excessive missing data, dropping the variable altogether may be appropriate, provided it does not significantly impact the analysis."
48,Can you explain what a graph is?,"In TensorFlow, a graph defines computational operations where nodes represent operations and edges denote data flow, crucial for defining and visualizing complex models."
49,What is A/B Testing?,"A/B testing is a method for comparing two versions of a webpage, product feature, or anything else to determine which one performs better in terms of specific metrics like conversion rates, user engagement, etc."
50,Explain statistical power and its importance in hypothesis testing.,"Statistical power quantifies a test's capability to identify effects, indicating how likely it is to reject a null hypothesis when the alternative hypothesis holds, crucial in experimental design and analysis."
51,Explain the concept of a latent variable.,"Latent variables are unobservable variables that underlie observed phenomena in a statistical or mathematical model. While latent variables themselves cannot be directly measured, they influence the observed data and explain patterns or relationships within the data. In statistical modeling, latent variables represent underlying constructs, traits, or factors that manifest indirectly through observable variables. The inference of latent variables involves estimating their values or distributions based on observed data using statistical techniques such as factor analysis, latent class analysis, or latent variable modeling. Latent variables play a crucial role in capturing complex relationships and hidden structures in data, providing insights into underlying mechanisms or processes that govern observed phenomena."
52,Define dependency parsing in natural language processing.,"Dependency parsing is a technique used in NLP to identify the grammatical relationships between words in a sentence, mapping out the structure that reflects how words are connected to each other."
53,What are the different kernels in SVM?,"Support Vector Machines use kernels to transform data into higher dimensions for classification. The main kernels are Linear (simple linear boundaries), Polynomial (complex regions), Radial Basis Function (RBF, for non-linear boundaries), and Sigmoid (similar to neural networks)."
54,Define selection bias and its impact on data analysis.,"Selection bias arises when the participants or data selected for analysis are not representative of the entire population, which can lead to skewed results and affect the validity of the study's conclusions."
55,Can you clarify the concept of candidate sampling?,"Candidate sampling is a method used during model training that selectively calculates probabilities for all positive class instances and a random subset of negative ones, to effectively and efficiently manage class imbalance."
